iter	Passed	Remaining
692	44155	19560
693	44225	19500
694	44293	19438
695	44368	19379
696	44440	19319
697	44518	19261
698	44585	19199
699	44650	19136
700	44712	19071
701	44769	19004
702	44838	18943
703	44904	18880
704	44976	18819
705	45053	18761
706	45118	18698
707	45180	18633
708	45240	18568
709	45313	18508
710	45380	18445
711	45437	18379
712	45504	18316
713	45553	18247
714	45623	18185
715	45686	18121
716	45747	18056
717	45808	17991
718	45874	17928
719	45935	17863
720	45985	17794
721	46044	17728
722	46103	17663
723	46158	17596
724	46222	17532
725	46280	17466
726	46336	17400
727	46390	17332
728	46446	17266
729	46510	17202
730	46574	17138
731	46641	17076
732	46697	17009
733	46752	16942
734	46807	16876
735	46867	16811
736	46923	16744
737	46976	16677
738	47030	16610
739	47101	16549
740	47150	16480
741	47212	16416
742	47272	16351
743	47326	16284
744	47384	16218
745	47443	16153
746	47512	16092
747	47579	16029
748	47649	15967
749	47710	15903
750	47773	15839
751	47826	15772
752	47883	15706
753	47951	15644
754	48011	15579
755	48073	15515
756	48131	15450
757	48191	15385
758	48251	15320
759	48320	15259
760	48385	15195
761	48447	15131
762	48502	15065
763	48555	14998
764	48621	14936
765	48690	14874
766	48751	14809
767	48818	14747
768	48895	14687
769	48953	14622
770	49016	14558
771	49071	14492
772	49134	14428
773	49191	14363
774	49260	14301
775	49330	14239
776	49390	14175
777	49450	14110
778	49517	14047
779	49582	13984
780	49636	13918
781	49693	13853
782	49749	13787
783	49811	13723
784	49867	13658
785	49922	13592
786	49979	13526
787	50033	13460
788	50097	13397
789	50160	13333
790	50229	13271
791	50317	13214
792	50390	13153
793	50444	13087
794	50508	13024
795	50567	12959
796	50630	12895
797	50692	12831
798	50749	12766
799	50811	12702
800	50874	12639
801	50933	12574
802	51002	12512
803	51062	12448
804	51123	12383
805	51189	12321
806	51252	12257
807	51313	12193
808	51368	12127
809	51432	12064
810	51495	12000
811	51554	11936
812	51613	11871
813	51683	11809
814	51739	11744
815	51797	11679
816	51859	11616
